epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,11248.1,0.25567,0.2314,0.86657,0.98711,1,0.98915,0.98244,0.20283,0.18919,0.7652,0.000581,0.000581,0.000581
45,11496.9,0.23952,0.21889,0.8604,0.9871,1,0.99012,0.98327,0.20719,0.18981,0.76102,0.000548,0.000548,0.000548
46,11742.1,0.24762,0.22464,0.85755,0.98711,1,0.99134,0.98968,0.19046,0.18162,0.76473,0.000515,0.000515,0.000515
47,11995.1,0.23294,0.20689,0.86334,0.98708,1,0.99134,0.98629,0.21038,0.18261,0.77203,0.000482,0.000482,0.000482
48,12244,0.25122,0.21465,0.86105,0.98709,1,0.9922,0.9868,0.18629,0.17737,0.75833,0.000449,0.000449,0.000449
49,12492.9,0.22245,0.20397,0.86901,0.9869,1,0.9928,0.98508,0.1865,0.169,0.76142,0.000416,0.000416,0.000416
50,12743.2,0.23292,0.20565,0.86187,0.98186,1,0.99354,0.98922,0.17737,0.19603,0.75406,0.000383,0.000383,0.000383
51,12985.4,0.22002,0.27666,0.84024,0.98711,1,0.9939,0.98864,0.17116,0.16342,0.75098,0.00035,0.00035,0.00035
52,13236,0.20067,0.17351,0.84804,0.98714,1,0.99073,0.98908,0.20011,0.16909,0.7596,0.000317,0.000317,0.000317
53,13482.9,0.20147,0.17253,0.82254,0.98709,1,0.99085,0.98468,0.18366,0.15661,0.75968,0.000284,0.000284,0.000284
54,13725.1,0.19631,0.16819,0.83777,0.9871,1,0.98488,0.97607,0.18586,0.17611,0.761,0.000251,0.000251,0.000251
55,13970,0.18513,0.1611,0.82098,0.9871,1,0.99232,0.97903,0.19644,0.18325,0.77776,0.000218,0.000218,0.000218
56,14216.1,0.18357,0.16155,0.82648,0.98706,1,0.99293,0.9903,0.17611,0.16609,0.76031,0.000185,0.000185,0.000185
57,14465.5,0.17989,0.16012,0.83,0.98711,1,0.98841,0.98762,0.17939,0.16617,0.75804,0.000152,0.000152,0.000152
58,14707.1,0.17307,0.15267,0.8265,0.98714,1,0.99134,0.99059,0.17505,0.16254,0.75733,0.000119,0.000119,0.000119
59,14952.8,0.17528,0.15397,0.81724,0.98713,1,0.99,0.9882,0.17223,0.15517,0.75248,8.6e-05,8.6e-05,8.6e-05
60,15202.4,0.16082,0.14117,0.83529,0.98714,1,0.99024,0.9885,0.16819,0.15928,0.75064,5.3e-05,5.3e-05,5.3e-05
